ID,Title,Blueprint,SqFt,Lot Size,Year Built,Property Type,Status,Distressed,Short Sale,HOA/COA,Owner Type,Owner Status,Occupancy,Length of Ownership,Purchase Method,County,Estimated Value
1,"2077 State Highway 78 N
Farmersville, TX 75442",Primary,"1,500","147,581",2010,Commercial (General),On Market,No,No,No,Trust,Non-Owner Occupied,Occupied,15 Years 4 Months,Cash,Collin,N/A
1,"2077 State Highway 78 N
Farmersville, TX 75442",Blueprint 1,"1,500","147,581",2010,Commercial (General),On Market,No,No,No,Trust,Non-Owner Occupied,Occupied,15 Years 4 Months,Cash,Collin,
2,"6080 Water St
Plano, TX 75024",Primary,702,"471,363",2019,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
2,"6080 Water St
Plano, TX 75024",Blueprint 1,"3,607",2,2019,Condominium (Residential),On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,9 Months,Cash,Collin,
2,"6080 Water St
Plano, TX 75024",Blueprint 2,"3,550",N/A,2005,Single Family Residential,Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,1 Year 2 Months,Cash,Collin,
2,"6080 Water St
Plano, TX 75024",Blueprint 3,"319,850","471,363",2015,Condominium (Residential),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
2,"6080 Water St
Plano, TX 75024",Blueprint 4,702,"471,363",2019,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
2,"6080 Water St
Plano, TX 75024",Blueprint 5,"337,320","471,363",2015,Condominium (Residential),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
2,"6080 Water St
Plano, TX 75024",Blueprint 6,"37,213","471,363",2015,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Primary,"1,150","239,798",2017,Commercial Condominium (not offices),On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 1,"5,166","22,932",2007,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,17 Years 10 Months,Financed,Denton,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 2,987,174,1981,Condominium (Residential),Off Market,No,No,Yes,Individual,Non-Owner Occupied,Occupied,6 Years 9 Months,Cash,Denver,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 3,"5,166","22,932",2007,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,17 Years 10 Months,Financed,Denton,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 4,"1,135",2,2017,Condominium (Residential),Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Denton,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 5,"2,752","1,992,082",1968,Mobile home,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,10 Years 4 Months,Financed,Collin,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 6,"2,871",N/A,2000,Single Family Residential,Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,24 Years 11 Months,Financed,Denton,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 7,"1,199",1,2011,Condominium Offices,On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Denton,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 8,"1,199","118,187",2014,Condominium Offices,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Denton,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 9,"1,167","167,706",2004,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,5 Years 9 Months,Cash,Collin,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 10,"1,200","64,948",2009,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,11 Years 9 Months,Cash,Collin,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 11,"1,200","64,948",2009,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,12 Years 3 Months,Cash,Collin,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 12,"1,210","227,422",2009,Condominium Offices,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,11 Years 9 Months,Cash,Denton,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 13,"1,150","239,798",2017,Commercial Condominium (not offices),Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
3,"8668 John Hickman Pkwy #804
Frisco, TX 75034",Blueprint 14,"1,150","239,798",2017,Commercial Condominium (not offices),On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
4,"15602 State Highway 160
Blue Ridge, TX 75424",Primary,"2,400","43,560",2019,Commercial (General),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
4,"15602 State Highway 160
Blue Ridge, TX 75424",Blueprint 2,"3,354","7,673",2013,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,12 Years,Financed,Collin,
4,"15602 State Highway 160
Blue Ridge, TX 75424",Blueprint 3,"1,746","520,542",1982,Rural Residence (Agricultural),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,7 Years 6 Months,Financed,Collin,
4,"15602 State Highway 160
Blue Ridge, TX 75424",Blueprint 4,"2,400","43,560",2019,Commercial (General),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
4,"15602 State Highway 160
Blue Ridge, TX 75424",Blueprint 5,"2,692",N/A,2020,Single Family Residential,Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,4 Years 6 Months,Financed,Collin,
